thread_title,post_content,source_url
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"C2C range of your EV - do you realise it yet? I am raising a practical issue for all the EV owners out there. ""What is the range of your vehicle?"" This question though trivial, most asked, could be answered in different ways by different people, fetching different answers. EV manufacturer quotes ARAI tested range . A particular manufacturer quotes C75 range . People talk about MID range and so on. Whatever the figure be, people almost always end up answering this question in such a way that it's far from practicality. Why I say so is for a very simple reason: Do you drive down your car all the way to 0% SOC every time before you plug it in to charge back to 100% SOC? The clear answer is NO . You don't drive down to 0% SOC every time fearing deep discharge , getting stranded mid-way or anything of sorts. We all try to plug back our EV at around 20% SOC . Some enthusiasts go down as much as 10% . But nobody goes down to 0% SOC. So what's the point saying my car has a range of 200kms, 300kms, 400kms, 500kms..? For all practical purposes, the quoted range of an EV should be that which a person can safely drive down from 100% SOC and then safely put back to charge again. That basically is a realistic range of any EV. For example, I have a Tiago.ev 24kWh Creative+ which is safely providing a range of 200+, but I am, almost every time, charging it back at 20% SOC after driving 160kms. The last 20% SOC or 40kms I never use or drive except in cased of emergencies. Hence for me, the range of my EV is 160kms only and not a virtual 200kms. For my practical usage, I am only getting 160kms between the charge and not 200kms. However, for EV manufacturers, quoting that figure is something that may be deterrent for their sales figures. Hence they almost always stick to the ARAI figure (the highest), and some quoting C75 (realistic but 100% to 0% SOC equivalent). Nobody talks about how much their car goes between charge . But for an end customer, the figure that matters is charge to charge (C2C) range wherein you ideally go for charging your EV at 20% SOC. It is imperative for govt. also to mandate EV manufacturers to quote C2C range - because its only the govt. who has to look after citizen's interests. Some responsible EV manufacturers may also give value to such figure (C2C range), if they are customer centric. As a consumer, I want to create awareness about this aspect first among EV users and on traction assume it to reach eventually to govt. authorities and EV makers . That's why I am publishing this post at TeamBHP assuming this forum being a responsible voice of car owners in Auto Industry. To gain traction on this issue, I invite all EV owners to actively quote their vehicle model, battery capacity and only the C2C range . I also urge everyone to talk and quote only the C2C range of your EV wherever you do so. I start with mine: Tiago.ev Creative+ 24kWh - C2C range is 160kms .",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"Charge-to-charge varies a lot according to your EV's engineering and quality control as well. For example, with Tata EVs, one can not go below 20% because, according to forum reports, there are too many breakdowns of sudden SOC drops below 20% and vehicles getting stranded. With M&M, this situation is less, but still there are 2-3 instances in XEV9S and XEV9E threads about this. For Koreans, Japanese, and Chinese, even SOC less than 5% seems to be absolutely fine. Taking all that into account, this is the minimum charge threshold that I arrived at for a usable range comparing EVs. Tata EVs - 20%, Mahindra - Gets some leeway, but still not less than 15%. Creta, EVitara, ZS - 10% seems absolutely fine, and for the adventurous, even 5% is okay.",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"2026 eVitara 61kWh - C2C is ~400km, at which point the SoC hovers around 15%. I keep the last 50km strictly as a reserve.",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,Nexon EV LR 40kwh C2C usable range is about 200km. Car has done 70000km. Can vary by +- 10% due to extreme heat or cold here in Delhi NCR.,https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"Quote: Originally Posted by autoliebe C2C range of your EV - do you realise it yet? I am raising a practical issue for all the EV owners out there. ""What is the range of your vehicle?"" . See I understand your point and the point of recharge varies by battery chemistry and BMS of individual cars, however the same applies to ICE car as well. 1. It is recommended to fill the car once you hit reserve as very low fuel level will strain the fuel pumps 2. Many cars have unusable reserve but it is counted in tank capacity, for eg. I had a tata nexon diesel, tank capacity was 44L but net usable was 40.5L and I would fill when car had consumed roughly 32-34L (measured by how much fuel went at cur off). This is 15-20% tank left quite similar to EV",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"Nexon 45KW - 6km/KW in Hyd summer and 7km/KW in winter. Assuming 20% SOC as cutoff, 225km in summer and 270km in winter is the C2C range.",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"2025 Punch 35Kw: C2C : 240km ( 100 to about 15%), 100% city use. So far all my charging has been a slow 3.3Kw at home. I let it drop to 9% today, and it had done 250 km.",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"Quote: Originally Posted by deep_bang 2026 Punch EV - C2C is about 300kms..I usually try not to go below 25%. Very impressive if you are getting 300 km with 25% 'bijli' left, which means you can easily do 350-375 km without having a nervous breakdown. TATA's must be doing something right .",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"OG Nexon EV (2021 Dec Model) C2C typically around 150-160km, I try to charge when it reaches 20% So effectively it is giving me a 200km range with AC at 22 in Mumbai City driving",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,Quote: Originally Posted by deep_bang 2026 Punch EV - C2C is about 300kms..I usually try not to go below 25%. This looks an outlier figure for all the Punch.ev running out there. Do share what are you following to fetch such an amazing AEC if 100Wh/km or 10km/kWh.,https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"EV Model -> Ola S1 Air 3Kwh model Model Year -> 2023 Current Odometer Reading -> 39xxKms Use Case -> In the high altitude hilly terrain around Manali (Himachal Pradesh) for grocery deliveries C2C Range -> 60Kms (Eco/Normal mode) ARAI Range -> 125Kms (Eco), 100Kms (Normal), 80Kms (Sport)",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"Quote: Originally Posted by autoliebe This looks an outlier figure for all the Punch.ev running out there. Do share what are you following to fetch such an amazing AEC if 100Wh/km or 10km/kWh. Thanks for asking me this. I think my numbers are not entirely accurate. Let me explain how I got to this and what are my actual numbers after looking to the details. For starters, the AEC for me shows about 100 to 110 as most of my drives were early mornings and I did not even use AC and preferred the nice outside air. Switching on AC almost always pushed this number to 120 or so. Then I arrived at this optimistic number of 300 because the battery being 40kw / 100 wh/km = 400km. And 75% of this is 300. That's how I arrived at 300. And this seemed to be true most of the times. Perhaps if not 300 it could be 275. However, what I had missed out is that, typically, range is required not in the city but on the highway. Now that's a different ballgame. I looked at one of my trips last month and calculated that I got 230kms for 100 to 25%. Typically the AEC is around 120 to 130 on such a drive. So for the purposes of this thread, let me reword my statement: 1. City - C2C - 275km 2. Highways - C2C (assuming 100 to 75%) - 230km. Thanks to Autoliebe and Keroo for asking great questions!!!",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
Charge-to-Charge (C2C) range of your EV | More important than the full driving range of an EV,"Tiago Ev LR Driven 27k kms. Completely in NCR. DC charged only twice just to check if everything is working fine. I follow the pattern I do for my diesels which I fill up as soon as 25% fuel is left. Likewise, I charge it mostly when 30% is left. So, C2C is around 130-135km with AC. I don't do hypermiling and mostly drive it as I drive the diesel one.",https://www.team-bhp.com/forum/electric-cars/311786-charge-charge-c2c-range-your-ev-more-important-than-full-driving-range-ev.html
